k,noisy,prediction,overlap_mean,overlap_median,overlap_trimmed_mean
1,0.34916649218707635,0.7420641018983564,0.738168455414602,0.738168455414602,0.738168455414602
2,0.35022788229617113,0.7424407721053744,0.7681165709160481,0.7521057036495932,0.7681165709160481
3,0.3489331225832072,0.7456267908404812,0.7708525191748996,0.7632606432443351,0.7708525182441837
4,0.3500939790577988,0.7429737877086068,0.7769964226632535,0.7671194722464009,0.7769964228722696
5,0.3500559970326555,0.7439483933387894,0.7780401870745455,0.7710420890657104,0.7780401870855308
6,0.35101189129747595,0.7445409106629076,0.7815549833160814,0.7734796260374807,0.7815549830036486
7,0.34852487415657163,0.7375950128377673,0.7800100476954932,0.7739652343399885,0.7800100495421772
8,0.3482014208845601,0.7399880896384865,0.7781456426488474,0.7719410980505824,0.7781456402197343
9,0.3491359562735168,0.7414911537675558,0.7830572600578707,0.7773153653950278,0.7830572594449854
10,0.3503845499022525,0.7424306688813191,0.7807111568431074,0.7745267886361726,0.780711158137765
11,0.348307616160552,0.7430402410628106,0.786095413990867,0.7811595984357215,0.7860954151454896
12,0.3475769259456074,0.7413609392419344,0.7832231784591945,0.7777516861019649,0.7832231772344935
13,0.3483358145708993,0.7446078209768183,0.7839091194791742,0.7791185069209979,0.7839091211940377
14,0.35060001710088945,0.7430523105682858,0.7857460615155851,0.7812889899894236,0.7857460617433885
15,0.35277679843980725,0.744315016825475,0.7858546411487509,0.7811664167960705,0.7858546404964812
16,0.35081276644411785,0.7416557612732018,0.7854444954618325,0.7810043754594145,0.7854444952099333
17,0.3498448889586442,0.7366055703441658,0.7821945474075735,0.7783112134039052,0.7821945462390877
18,0.34803799650984607,0.7390034660800754,0.781829711679514,0.7778562636710501,0.7818297120868035
19,0.3496149084469829,0.7454691483070537,0.7867405042521611,0.7826777244469091,0.7867405023089057
20,0.35144253746906634,0.740520217394031,0.7864326297905786,0.7821827433831312,0.7856938777229645
21,0.3501286560695189,0.7424304612336938,0.7847374058253591,0.781275216185744,0.7841381993804535
22,0.3486884373794941,0.7455347537166694,0.7880475536784014,0.7841022178513792,0.7874050724197205
23,0.350106833171572,0.7404697902920195,0.7851012972556146,0.7816364662995906,0.7845508489398493
24,0.34934717162079604,0.7432466681236096,0.7881390491277335,0.7839835495709825,0.7874768689327992
25,0.3483168934742831,0.7404497757631161,0.7854922171016993,0.7816636018896249,0.7848441899079849
26,0.3508052652444137,0.7409262654866199,0.7880566888605284,0.7843170724659241,0.7874384369944809
27,0.3497808623501292,0.7381334965061612,0.784775520628497,0.781001896339326,0.7841373024191024
28,0.34848493689392296,0.7410002225057162,0.7869685680488341,0.7833595631814624,0.7863881033354332
29,0.3506011790606329,0.7416904857982477,0.786107222222646,0.7821980278231179,0.7854545928767779
30,0.3509600489922631,0.7443252323776816,0.7865634167320854,0.7829123324140809,0.7860418230426027
